salary,commission,age,gender,marital,elevel,car,zipcode,creditscore,hvalue,hyears,loan,group
107082,0,57,m,s,2,1,4,691,352601,11,137823,0
140649,0,51,m,d,1,11,2,406,262055,30,102513,1
116896,0,53,f,k,2,15,3,533,199639,15,268046,1
147618,0,80,f,s,3,7,6,641,591946,17,94532,0
48473,59722,53,f,s,3,13,0,536,0,14,247944,0
64206,57949,66,f,s,1,5,1,830,146969,13,10952,0
141268,0,24,f,m,1,15,4,512,472843,15,497935,0
50738,15775,70,f,k,1,2,9,664,776239,9,?,0
132490,0,54,f,s,1,2,8,808,708772,23,475488,1
93177,0,57,f,d,2,17,4,765,444521,12,35065,1
50794,40385,40,m,k,4,3,3,686,193245,8,312257,0
114556,0,69,f,k,1,14,4,783,527492,21,61586,1
63272,65992,63,f,s,2,18,5,505,547531,7,291966,0
109872,0,44,f,d,2,9,1,492,136752,12,320499,0
109403,0,62,m,k,4,4,0,380,0,8,471157,1
43575,41143,54,f,s,4,6,2,799,166331,22,368827,1
68234,45764,61,f,s,4,10,9,423,526941,3,366394,1
62124,46257,55,f,s,0,1,8,451,910310,25,356638,1
127948,0,41,m,m,1,3,2,798,271101,26,299030,0
142260,0,69,m,d,2,20,9,305,951708,15,80843,0
138174,0,36,f,s,3,1,9,660,912904,7,476991,0
79768,0,37,f,k,3,10,1,542,60590,19,441531,0
51232,29677,59,f,d,4,12,1,594,96701,13,380930,0
121282,0,58,m,m,4,12,?,777,890420,2,194408,1
120401,0,56,f,m,4,12,1,752,134920,8,133689,1
43032,67740,73,m,d,1,19,8,543,1065349,13,499678,1
27363,33346,36,m,?,4,14,0,778,0,26,424882,0
134075,0,46,f,m,2,6,0,303,0,26,341837,0
113760,?,60,m,s,2,7,2,845,277289,28,70700,1
72669,57762,57,m,m,3,3,0,538,0,13,7667,0
53298,53588,57,m,k,0,16,4,648,424629,12,205112,0
111032,0,59,f,m,4,19,0,577,0,27,135269,1
93825,0,30,m,s,1,4,0,791,0,17,220326,1
84462,0,80,m,s,1,10,?,481,1098541,30,278912,1
84076,0,35,m,m,2,5,8,366,738439,14,372381,1
81702,0,58,f,k,2,20,7,483,467283,20,388763,0
32464,30636,63,m,k,3,20,1,490,64072,16,11513,1
60170,73090,71,m,m,0,2,3,354,159652,16,336414,1
129295,0,45,f,s,1,9,7,579,546981,15,207417,0
119249,0,51,f,d,2,17,8,714,798316,24,339356,0
94899,0,62,m,k,0,6,3,642,409067,16,127536,0
75594,0,23,f,d,0,12,0,710,0,29,17164,1
27808,38512,43,m,k,2,14,5,747,324574,22,233412,1
121239,0,72,m,m,0,7,9,627,858664,29,450987,0
141322,0,?,f,s,3,14,4,559,310198,5,495963,0
51168,63110,27,m,s,0,19,5,577,382759,25,384338,1
91810,0,53,m,k,3,?,9,552,618177,29,261398,1
72974,28758,37,f,m,0,5,5,768,503279,30,364443,0
89011,0,51,m,d,3,12,8,455,1011405,16,284246,1
109606,0,77,m,d,0,17,5,770,402567,16,309164,0
140367,0,73,f,m,4,?,6,441,356707,11,4825,0
23751,52297,32,f,k,2,5,9,581,1111434,5,10472,1
55009,52318,20,m,s,0,19,7,639,559616,13,409015,1
20870,61307,62,f,s,1,7,9,671,1305842,1,470162,0
117967,0,26,f,m,4,2,6,780,466472,18,193542,0
119735,0,32,m,d,1,14,6,390,650884,9,329389,0
126124,0,42,f,d,2,13,3,640,327044,6,407298,0
46523,43883,33,f,s,?,12,4,612,324920,5,229548,1
97939,0,34,f,d,1,15,1,740,74681,13,465075,1
142619,0,24,f,m,4,10,2,581,165924,5,206227,0
78969,0,27,f,k,2,19,3,399,373589,23,247994,0
75148,0,58,f,k,1,9,8,809,898716,27,92432,1
108419,0,42,f,s,2,13,3,787,251481,30,137390,0
51030,59492,34,f,s,3,16,4,734,553005,5,482988,0
100599,0,21,m,m,4,10,6,383,386106,19,288846,0
31908,71710,40,m,d,0,7,1,523,118827,24,348532,0
20846,74126,35,m,s,4,4,3,689,294021,6,331099,1
117139,0,71,f,m,4,12,9,666,1246918,3,78235,0
63145,27357,65,f,d,3,14,6,467,345445,1,307971,0
110802,0,34,f,k,1,19,1,338,126425,13,8330,1
99853,0,?,f,m,1,3,8,339,993566,21,132402,1
54635,33115,27,m,s,0,12,8,408,1023949,?,70208,1
55112,64636,53,m,k,0,13,8,834,788877,29,434603,0
89450,0,67,m,m,0,3,8,454,707637,16,87472,0
118830,0,24,m,m,3,8,8,378,448979,21,94247,0
80838,0,50,f,s,0,12,9,335,1181613,20,406204,0
?,23276,26,f,s,3,2,2,443,267902,1,421644,0
138322,0,62,m,d,0,10,3,523,424391,?,278416,0
99156,0,72,m,k,1,4,6,311,660185,17,169150,0
27965,53922,46,f,m,0,10,2,636,106150,30,189243,1
61120,45912,47,f,s,3,15,4,339,555964,1,99109,0
117104,0,76,m,d,4,2,2,736,243105,11,470567,0
32668,45893,23,f,k,3,18,2,684,244609,30,10485,1
41143,59740,78,m,s,0,9,5,647,740597,20,26849,1
143655,0,26,m,d,2,4,5,619,344337,20,345355,0
92365,0,40,f,m,1,19,4,344,318372,10,332611,1
78451,0,45,f,k,0,16,1,491,127025,8,37546,1
148220,0,79,f,d,2,5,8,523,1087175,15,439599,0
125601,0,79,m,d,3,1,8,629,716239,3,230319,0
70884,11646,58,m,k,0,14,9,611,566519,12,153383,0
71487,56812,45,m,k,4,9,2,370,175487,21,151072,0
52432,67788,75,f,m,3,19,9,628,557847,21,321155,0
86178,0,20,f,m,4,2,4,402,430392,5,212462,1
140032,0,31,f,d,1,2,2,324,229017,3,?,1
?,17923,45,m,k,2,17,5,601,374338,27,245460,1
80003,0,36,f,k,3,19,7,688,680374,12,361126,0
118261,0,?,m,k,0,15,9,846,692275,10,56421,0
132341,0,41,m,m,4,10,3,745,386341,24,467898,0
113663,0,79,f,k,3,17,0,671,0,18,249427,1
23033,10068,44,f,s,4,16,5,485,448548,28,254113,0
142267,0,67,m,k,1,16,3,678,375962,27,273440,0
116890,0,32,f,d,0,6,5,376,371054,9,234735,1
45809,18979,25,?,k,3,1,9,647,762274,28,315887,0
59200,46749,27,m,d,3,13,0,844,0,16,42804,1
55171,35761,30,m,s,0,16,0,372,0,29,322679,1
40088,49946,80,m,s,0,2,3,457,396985,15,279606,1
136946,0,76,f,m,4,2,8,302,958894,7,452008,0
51535,10902,76,m,k,3,12,5,742,511737,8,408729,1
101565,0,24,f,s,3,17,1,481,91833,19,290818,1
59559,70809,22,m,d,2,16,0,418,0,9,461523,1
136054,0,58,m,m,3,20,3,715,303005,28,443683,0
52547,64718,28,m,d,2,7,3,380,423517,6,402288,1
?,61644,45,m,k,3,12,7,439,430431,26,318265,1
102844,0,49,f,d,3,4,0,440,0,12,326323,0
102960,0,23,m,m,3,18,0,384,0,10,438739,0
96997,0,39,f,m,4,19,8,791,888446,6,198046,1
100350,0,55,f,s,1,18,2,419,126095,14,150324,0
133114,0,64,m,s,4,1,5,675,281611,27,300506,1
31352,55135,66,m,s,1,3,5,374,319981,21,359980,1
128680,0,39,m,d,0,12,7,308,952218,21,76625,0
42007,55382,56,?,s,0,7,2,492,201696,14,203938,0
?,42325,72,m,k,3,7,4,735,576746,23,363428,1
107970,0,72,m,d,3,11,2,479,222894,9,422788,0
29557,20174,30,f,k,2,14,1,581,100941,28,97769,0
40227,25849,35,m,s,2,6,5,597,571714,13,234250,1
55040,70816,22,f,s,1,6,5,545,361623,10,110011,1
?,0,61,f,s,3,5,3,558,366323,12,258779,1
34986,64704,61,m,s,3,7,0,597,0,19,69708,1
85170,0,69,f,m,3,8,5,660,418823,6,213307,0
96211,0,41,m,s,1,10,2,759,287007,10,275848,0
107641,0,78,m,s,2,4,0,382,0,24,395933,1
34943,46381,74,f,?,4,7,3,823,185725,11,104017,0
20326,74389,42,m,d,2,7,9,689,1204964,13,257340,0
134181,0,58,m,s,0,1,4,584,420532,6,279738,0
112879,0,42,m,s,1,8,4,487,465351,17,?,0
72893,26796,22,m,s,?,9,9,791,691050,19,63838,1
105901,0,32,f,s,4,13,3,774,375461,23,238356,1
69980,45978,27,f,s,2,17,9,637,1330390,30,426704,0
24457,60605,53,m,s,1,13,2,506,158855,6,130336,0
23086,55773,76,m,s,3,5,1,736,57836,23,342255,1
131281,0,78,m,m,4,6,7,795,979025,14,157863,0
67470,47482,37,f,s,3,15,4,502,280392,5,46563,0
?,0,52,f,m,0,3,1,604,129235,6,51564,1
76587,0,42,f,d,0,20,0,334,0,17,164472,1
86944,0,55,f,k,2,8,9,668,1145152,26,298317,0
41123,14778,48,m,m,1,3,?,757,482142,5,473099,0
35294,71282,61,m,k,1,12,2,336,297376,2,465580,0
75169,0,50,f,k,1,15,7,375,913072,25,449512,0
55768,28451,50,f,k,3,19,3,546,342795,30,86766,1
86558,0,29,m,m,4,7,5,850,392551,11,493861,1
92848,0,?,m,s,3,11,0,383,0,15,181090,1
42702,73302,33,f,k,2,11,4,364,479703,23,281037,1
86094,0,21,m,d,4,6,8,593,925267,16,494595,1
93317,0,74,m,m,2,19,1,647,67109,15,117118,1
117525,0,28,m,?,3,7,5,640,736475,15,203950,0
144152,0,70,f,k,1,18,0,756,0,3,173195,1
44104,13418,75,f,k,4,2,5,650,699314,26,483805,0
121169,0,60,m,s,1,1,7,371,987516,18,331295,1
137957,0,40,?,k,4,15,2,335,145686,12,413565,0
125149,0,28,f,d,4,4,2,812,233697,8,290155,0
51361,40636,42,f,m,4,7,6,849,324320,11,79921,1
105610,0,58,m,m,1,6,2,696,244609,28,457330,1
144874,0,39,f,d,0,10,3,783,399895,23,312399,1
125949,0,60,f,d,3,5,6,591,698946,27,251594,1
142232,0,60,m,m,3,4,?,379,828730,16,493276,0
99288,0,76,m,k,0,5,0,835,0,?,142313,0
20890,51775,43,f,k,1,?,4,609,517631,19,4446,1
114533,0,23,m,k,3,13,?,341,131974,7,345121,0
23096,24620,66,m,d,4,15,9,837,1236561,5,236351,0
122455,0,55,f,s,4,12,9,751,939992,?,186939,0
103804,0,25,m,d,3,2,4,698,516137,9,333457,0
111997,0,36,f,k,1,11,7,465,898361,22,87447,1
130013,0,32,f,d,4,1,5,556,601491,9,207334,1
72644,15927,74,f,k,1,10,0,638,0,12,300537,0
62783,39081,70,?,s,4,1,4,346,419098,23,134858,1
60369,44185,68,f,m,2,15,3,370,177134,11,440651,0
52669,34515,74,m,m,4,20,2,372,147809,5,4102,1
117808,0,67,f,s,1,4,0,342,0,12,91272,0
72692,66035,37,f,d,0,2,7,346,816738,16,56206,1
124017,0,37,m,d,4,13,2,445,137365,5,402312,0
147127,0,?,m,s,3,16,0,467,0,11,456799,0
39489,36123,50,f,d,2,10,8,569,944738,18,380869,0
33747,49274,59,f,m,0,16,7,784,879594,20,81878,1
81906,0,55,f,d,0,9,8,417,692093,2,281115,0
?,71577,21,m,?,0,13,8,490,690579,27,38595,1
73348,52986,20,m,k,1,16,6,335,434592,14,153015,1
149954,0,22,f,d,4,4,1,606,102496,5,157384,1
22521,62754,70,f,d,0,14,0,612,0,20,117233,1
83953,0,41,m,k,4,16,1,302,114196,6,392503,0
32705,46822,29,m,m,0,4,2,397,181605,20,341545,0
78805,0,65,f,d,4,8,2,324,132490,11,209218,0
44601,70765,37,f,m,0,1,2,791,251415,6,315235,0
141237,0,29,m,m,0,19,4,758,546514,11,398994,0
138599,0,47,f,d,1,10,0,732,0,15,177443,1
26385,53392,50,f,k,4,20,2,390,186311,24,491310,0
83797,0,32,f,d,1,20,0,401,0,27,356091,1
41792,32464,49,f,s,4,4,2,703,186189,2,61887,1
119524,0,36,f,s,0,13,5,337,623077,26,373779,1
111693,0,67,m,k,0,13,3,791,381291,23,382408,0
88465,0,42,m,s,1,6,9,314,854014,4,395999,0
107701,0,51,?,m,3,16,4,463,285425,19,47192,1
148904,0,45,m,m,4,9,0,834,0,30,47494,0
85716,0,66,f,m,2,10,3,806,191912,26,382160,0
135555,0,66,f,s,4,13,5,719,534036,15,347715,0
20075,45996,79,f,s,2,4,8,544,711410,28,33545,0
104417,0,39,m,s,0,2,1,729,78912,?,204712,1
106702,0,?,m,m,0,15,2,413,171064,5,195118,1
41255,44618,66,m,d,2,9,2,542,207930,24,161185,0
26372,48138,67,m,d,0,13,2,819,204569,24,207978,1
81109,0,57,m,d,3,5,2,501,117416,20,373760,1
106965,0,67,f,m,2,3,2,471,226989,4,?,0
59024,22586,24,m,s,4,4,2,842,201685,29,409098,1
78659,0,54,f,k,0,20,4,716,460304,2,33732,1
63424,48648,63,f,m,3,2,0,791,0,9,348814,0
47060,61282,29,f,d,0,9,9,681,1072356,5,458589,0
40608,25878,69,m,m,?,7,7,328,718276,23,368707,1
47668,30130,65,f,k,4,7,5,371,511914,14,312878,0
67156,55038,46,m,s,2,16,1,736,144511,5,150952,1
48211,38384,44,m,s,4,20,8,510,1026897,8,318811,0
128874,0,28,m,k,2,19,8,305,927854,14,495704,0
73301,41382,54,f,s,2,6,4,437,539408,10,41827,0
140354,0,68,f,d,1,19,1,819,87541,12,452037,0
47186,69402,54,m,m,0,5,9,414,1159836,11,168351,0
71544,31556,51,m,d,4,12,6,732,308375,30,380869,0
96135,0,35,m,k,1,20,0,541,0,15,397876,1
56025,54495,22,f,k,4,9,1,344,75952,7,10162,1
30178,20204,79,m,k,2,18,7,607,891590,18,183998,1
96914,0,?,m,k,3,18,2,733,252888,13,424847,1
62216,24423,80,f,m,1,16,2,647,127766,9,284108,0
54655,34856,63,f,k,1,20,1,515,141862,25,198121,1
97137,0,40,m,s,3,18,7,482,593836,6,461151,0
128222,0,67,f,k,3,7,1,360,144117,16,154145,1
82017,0,31,m,k,3,12,7,825,598825,17,189693,0
128104,0,56,m,m,0,18,1,585,137101,7,434995,0
65125,72801,38,f,m,0,18,6,616,579451,12,44383,0
58781,47952,46,f,d,2,1,6,734,413114,29,328184,0
120841,0,33,f,s,0,6,7,709,1029330,4,229319,1
33422,14143,21,m,d,2,20,9,676,891446,?,40017,0
75764,0,?,f,d,4,7,1,589,100945,22,394114,0
49904,48147,44,m,m,2,12,0,728,0,10,141382,0
42074,41284,47,f,m,2,8,5,661,700794,18,213379,1
109105,0,78,m,m,3,10,1,313,88430,25,499259,0
58216,60282,48,f,d,1,4,1,311,72097,11,95762,1
68128,36549,66,f,m,2,10,5,400,682691,5,399145,0
76281,0,36,m,s,1,5,0,389,0,10,411187,1
90988,0,22,m,m,1,19,5,669,370771,15,331841,1
22131,12863,63,f,d,3,7,8,445,448482,29,378338,0
57310,15631,72,f,m,0,11,0,689,0,13,268022,1
128878,0,30,m,d,4,4,6,388,379222,17,259264,0
100465,0,57,m,s,0,11,9,312,541082,29,407507,0
33584,62886,44,f,m,0,10,0,704,0,20,14905,1
140945,?,72,f,k,1,8,4,424,433829,27,402240,0
71674,69514,24,m,m,0,6,4,595,394751,6,133363,1
106919,0,34,f,s,4,16,6,505,878270,17,111603,0
125106,0,27,m,k,2,8,6,639,559707,15,445881,0
113484,0,56,f,m,1,3,8,554,1163256,21,319392,0
63236,27623,38,f,d,1,18,3,512,266000,20,131545,1
132186,0,37,m,s,2,17,1,302,83592,11,140982,1
102158,0,51,m,m,0,13,?,394,843149,16,207995,1
104241,0,64,m,s,0,20,9,827,1199094,4,56404,1
28749,11213,77,m,d,0,16,?,659,358386,27,406773,1
65094,28543,23,f,m,2,15,7,697,830878,22,136228,1
56692,28510,57,f,?,0,13,5,?,460162,2,145936,1
38390,?,71,f,s,3,9,9,386,1105495,18,367676,1
38121,67813,68,m,s,3,15,7,489,737783,12,425809,1
46369,69146,56,m,d,1,13,8,338,728844,23,387408,0
91805,0,30,m,s,2,2,0,447,0,17,489029,1
123091,0,34,f,s,0,11,4,638,331129,27,132188,0
109474,0,29,f,k,0,14,4,829,498455,18,100034,1
51830,27383,72,m,d,2,19,0,721,0,14,359304,1
143139,?,66,m,k,3,15,5,525,353732,14,287358,1
81549,0,36,f,s,3,2,8,504,1024512,6,175933,1
30717,74575,47,f,m,4,16,9,380,1186912,12,403764,1
78304,0,38,f,s,1,11,7,587,821462,25,152979,1
68946,58588,78,f,d,3,12,0,508,0,26,218974,1
98972,0,78,m,m,2,4,5,?,557471,11,293244,1
140692,0,54,f,s,4,6,8,613,730187,3,132883,0
26919,24722,75,m,m,?,12,1,417,78871,17,278081,0
28445,49416,40,f,k,4,18,8,566,979464,24,316808,0
116134,0,51,f,d,1,3,6,636,807264,9,111436,1
136701,0,34,m,d,0,12,3,824,384222,1,281913,0
114319,0,42,f,s,1,18,9,666,1023933,2,406310,0
135439,?,75,m,m,1,19,0,802,0,8,123220,0
84320,0,37,f,s,0,11,8,638,939968,25,137468,1
47338,41502,37,m,m,0,2,4,744,320620,13,192588,1
109357,0,35,m,d,2,2,7,571,397909,25,418401,0
25352,50191,49,m,k,2,12,5,577,335578,18,335508,1
62936,45696,33,m,s,0,12,1,336,93846,15,327435,1
135073,?,37,f,k,3,7,1,460,131767,22,445968,0
?,37981,49,m,s,1,16,7,448,757310,12,199304,0
135970,0,74,m,d,0,12,1,383,125012,8,55585,0
127180,0,33,f,k,4,2,7,790,941969,14,368208,0
91399,0,43,m,d,?,5,?,332,210585,2,217381,1
115301,0,52,m,d,2,16,0,387,0,26,74365,0
145331,0,34,m,s,3,2,9,840,1298640,8,406577,1
?,0,31,f,s,1,11,8,549,616833,1,400510,0
112030,0,63,m,s,2,4,3,349,384292,2,218522,1
138853,0,64,f,s,3,17,7,483,978448,26,320860,0
33525,67389,78,m,d,0,13,1,554,59630,14,472933,1
119465,0,67,f,m,2,16,6,769,781880,16,445888,0
127497,?,29,f,m,3,17,8,767,570312,13,360530,0
136075,0,36,m,m,3,1,3,699,311724,28,19139,0
124660,0,47,m,m,0,7,0,776,0,9,76337,1
29961,27032,72,f,k,2,8,?,438,882722,7,363549,0
69114,55516,28,m,m,2,11,8,535,695313,17,317917,1
49530,54804,70,f,d,4,8,4,485,240166,20,438192,0
51756,33072,58,f,k,1,3,7,348,867640,19,378202,0
84037,0,68,f,m,3,1,8,351,418200,2,472652,0
126894,0,77,f,d,1,6,5,522,603573,29,479862,0
149298,0,31,f,m,0,5,0,335,0,9,402466,0
29172,64195,39,f,k,2,17,3,764,418793,30,211094,1
114322,0,70,m,k,3,3,8,413,666130,26,423463,1
134590,0,41,f,d,2,8,9,700,672190,27,325492,1
117385,0,64,m,m,4,10,6,737,813466,?,49818,0
82628,0,?,f,d,0,15,2,589,156217,24,184503,1
127188,0,53,m,?,0,9,2,428,111027,5,51180,0
102745,0,48,m,d,4,13,8,306,715906,29,181146,1
22898,19859,47,m,m,0,11,?,389,278971,3,482656,0
42055,51292,52,f,d,2,17,?,434,354179,26,350394,0
111847,0,40,m,k,1,8,1,702,116131,28,?,1
70820,44409,47,f,m,4,8,9,302,463057,25,49733,0
69158,49450,26,f,s,4,20,9,503,574946,4,471886,0
43460,24108,41,m,m,4,7,7,557,850766,7,378324,0
104877,0,54,f,d,3,4,3,757,183773,25,?,1
137758,0,45,m,m,4,12,7,796,434582,3,146233,0
89134,0,46,m,d,4,17,5,369,628679,8,?,1
23953,72669,39,f,s,1,2,8,430,928896,4,214930,1
42893,40757,26,m,k,3,18,1,632,67214,20,408161,0
76574,0,44,f,d,0,11,8,695,823756,3,417311,0
75587,0,64,f,?,4,15,9,767,1206560,28,370821,0
73433,48343,76,m,s,4,16,8,632,1194140,18,303819,1
21941,17749,77,m,m,3,9,8,472,469511,24,157904,0
22873,38218,55,f,d,1,7,9,625,1028313,30,68433,1
87380,0,47,m,s,1,4,1,455,66386,28,21424,0
60401,31737,77,f,s,4,10,9,592,686360,5,342779,1
71984,55417,80,f,d,2,18,?,605,0,7,251132,1
115968,0,46,f,k,4,4,7,341,524637,12,466187,0
110218,0,72,m,m,2,19,9,476,1010887,5,483994,0
117609,0,41,m,k,3,4,7,396,864637,19,198827,1
88492,0,54,m,d,3,5,8,444,941266,23,468151,1
86891,0,42,f,m,2,12,8,718,638296,11,74941,0
39771,66172,53,m,s,4,6,1,337,148690,22,144672,0
54874,40618,26,m,m,4,6,5,436,420283,15,231674,1
60587,11784,24,f,m,2,13,4,442,507585,17,305015,1
78185,0,20,m,d,1,19,8,695,805910,5,408266,0
115060,0,37,m,m,0,18,1,657,70796,21,181612,0
141397,0,42,m,m,0,11,3,776,351743,21,350966,0
113301,0,45,m,d,4,7,5,595,580209,6,378405,1
38350,23475,60,f,m,3,1,2,576,261981,26,25564,1
45948,15197,55,f,k,4,10,9,705,696601,11,?,1
148783,0,31,f,k,3,5,6,804,582645,15,496664,0
67468,56944,75,f,d,3,6,3,474,374489,9,203323,1
127796,0,36,f,d,2,10,0,497,0,25,255521,1
22038,26786,34,?,k,0,1,8,389,1013481,18,53809,1
69859,65735,41,m,d,2,1,4,?,306641,30,69709,1
135387,0,23,f,m,2,20,8,781,1096421,12,427676,0
23942,66635,48,f,d,3,7,9,603,1210816,3,257965,0
72625,26404,31,f,m,3,10,9,598,?,27,57911,1
105716,0,50,f,m,1,2,3,390,329388,5,188285,1
105403,0,29,m,m,4,18,6,476,596274,2,135308,0
132007,0,43,m,m,0,4,4,613,373861,28,372450,0
103569,0,71,m,s,4,11,6,709,700711,13,177322,1
102282,0,36,m,m,1,7,7,371,959794,28,395809,0
32280,63892,64,f,s,1,20,5,698,417678,1,91275,0
100244,0,50,f,m,3,2,7,643,979027,11,89500,1
72810,24090,73,f,d,3,18,6,611,441400,3,481131,0
110258,0,79,f,m,1,10,1,305,90885,28,176834,0
113748,0,72,f,d,2,3,1,534,119144,12,217753,1
33913,39092,45,f,k,0,20,1,329,55674,11,88164,1
113585,0,62,f,?,4,7,7,565,776972,13,86797,0
27448,33135,20,m,s,1,20,1,718,82551,30,286917,1
